name;source;type;minOccurs;maxOccurs;elementURI;classURI;documentation;;
Season;Dataset:TaxonRecord:NaturalHistory:Migratory:MigratoryAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/MigratoryAtomized/Season;http://purl.org/pliniancore/terms/NormalString;Time of year in which a species migrates. ;;
MigratoryUnstructured;Dataset:TaxonRecord:NaturalHistory:Migratory;NormalString;1;1;http://purl.org/pliniancore/terms/Migratory/MigratoryUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
EcologicalSiginificance;Dataset:TaxonRecord:NaturalHistory;EcologicalSignificanceType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/EcologicalSignificance;http://purl.org/pliniancore/terms/EcologicalSignificanceClass;Ecological importance of the taxon. (Placeholder);;
EcologicalAtomized;Dataset:TaxonRecord:NaturalHistory:EcologicalSignificance;DetailType;1;unbounded;http://purl.org/pliniancore/terms/EcologicalSignificance/EcologicalAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
EcologicalUnstructured;Dataset:TaxonRecord:NaturalHistory:EcologicalSignificance;NormalString;1;1;http://purl.org/pliniancore/terms/EcologicalSignificance/EcologicalUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
EnvironmentalEnvelope;Dataset:TaxonRecord:NaturalHistory;EnvironmetalType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/EnvironmentalEnvelope;http://purl.org/pliniancore/terms/EnvironmentalClass;Environmental ranges in which species live, e.g. annual rainfall, average, 450 mm;;
EnvironmentalUnstructured;Dataset:TaxonRecord:NaturalHistory:EnviromentalEnvelope;NormalString;1;1;http://purl.org/pliniancore/terms/Environmental/EnvironmentalUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
NaturalHistoryUnstructured;Dataset:TaxonRecord:NaturalHistory;NormalString;1;1;http://purl.org/pliniancore/terms/NaturalHistory/NaturalHistoryUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Invasiveness;Dataset:TaxonRecord;InvasivenessType;0;1;http://purl.org/pliniancore/terms/TaxonRecord/Invasiveness;http://purl.org/pliniancore/terms/InvasivenessClass;Information about invasive exotic species that could threaten to ecosystem, habitats and species;;
InvasivenessAtomized;Dataset:TaxonRecord:Invasiveness;InvasivenessAtomizedType;1;1;http://purl.org/pliniancore/terms/Invasiveness/InvasivenessAtomized;http://purl.org/pliniancore/terms/InvasivenessAtomizedClass;NULL;;
gisin:origin;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=1&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;Whether the species is considered to be native to a particular location or not. Values: Indigenous, Exotic, Unknown ;;
gisin:presence;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=2&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;There is supporting evidence to show the species is present within the valid date. Values: Absent, SometimesPresent, Present, Unknown, Reported;;
gisin:persistence;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=3&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;How successful the organism is at surviving and reproducing. Values: Persistent, Temporary, Transient, DiedOut, Unknown;;
gisin:distribution;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;1;unbounded;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=4&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;Whether the species is limited to a local area or covers vast tracks of land or water. Values: Widespread, Moderate, Localized, Unknown ;;
gisin:harmful;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=8&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;Whether the organism is considered harmful. Invasive Species should return 'Harmful=Yes' and 'Origin=Nonindigenous'. More detailed 'harm' information is dealt with in the ImpactStatus Data Model. Values: Yes, No, Potentially, Unknown;;
gisin:modified;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;DublinCore:Date;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=52&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalDate;NULL;;
gisin:startValidDate;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;Date;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=10&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;This is the first day that the record is valid for in the format YYYY-MM-DD.;;
gisin:endValidDate;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;Date;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=11&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;This is the last day that the record is valid for in the format YYYY-MM-DD. ;;
gisin:countryCode;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;1;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=13&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;A two letter country code from the ISO specification.;;
gisin:stateProvince;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=14&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;NULL;;
gisin:country;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=15&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;NULL;;
gisin:localityName;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=16&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;NULL;;
gisin:language;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=42&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;The primary language of the data provided by the service. It is recommended to use codes defined by IANA, RFC 4646, 2 letter codes, no country;;
gisin:citation;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=68&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;Citation for the original source of the data. This data must be maintained an relayed by providers that harvest data from other providers. ;;
gisin:abundance;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=5&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;How abundant the organism is. Values: Dominant, Common, Rare, Zero, Unknown, Monoculture.;;
gisin:trend;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=6&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;Whether the range of the organism is increasing or decreasing. Values: Stable, Declining, Unknown, Expanding;;
gisin:rateOfSpread;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=7&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;How quickly the range of the organism is expanding. Values: Rapid, Moderate, Slow, Unknown.;;
gisin:regulatoryListing;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/tech/Concept_Info.php?ConceptID=9&WebSiteID=4;http://purl.org/pliniancore/terms/NormalString;The legal regulatory status of the organism. Values: Prohibited, Restricted, NotConsidered, Unknown;;
gisin:memo;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=92&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;An unsearchable field for providers to add anything else they think is important;;
gisin:publicationDate;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;Date;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=93&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;Date the record was published in the format YYYY-MM-DD;;
gisin:localityType;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=96&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;Defines the type of info in the Locality concept (city, park, cemetery, refuge, protected area). Values: State/Province, County, Postal code, Watershed, Unknown;;
gisin:locationValue;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=98&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;Value matching the code defined in the locality standard for the locality;;
gisin:publicationDatePrecision;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;Enumerated;0;1;http://www.gisin.org/cwis438/websites/GISINDirectory/Tech/Concept_Info.php?ConceptID=115&CallingPage=Model_Info.php?ModelID=1;http://purl.org/pliniancore/terms/NormalString;Precision of the publication date. Values: Unknown, Day, Month, Year;;
WhatImpact;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/InvasivenessAtomized/WhatImpact;http://purl.org/pliniancore/terms/NormalString;What the actual impact is, for instance: Is it eating all the riparian vegetation? Are their burrows destroying irrigation systems? Is it displacing  Arvicola sapidus?;;
impactTarget;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/InvasivenessAtomized/impactTarget;http://purl.org/pliniancore/terms/NormalString;Who/what the species is impacting.;;
impactMechanism;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/InvasivenessAtomized/impactMechanism;http://purl.org/pliniancore/terms/NormalString;Mechanism of introduction or impact to a new location.;;
InvasivenessUnstructured;Dataset:TaxonRecord:Invasiveness:InvasivenessAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/Invasiveness/InvasivenessUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
HabitatAndDistribution;Dataset:TaxonRecord;HabitatAndDistributionType;0;1;http://purl.org/pliniancore/terms/HabitatAndDistribution;http://purl.org/pliniancore/terms/HabitatAndDistributionClass;Distribution of the species;;
Habitats;Dataset:TaxonRecord:HabitatAndDistribution;HabitatsType;0;1;http://purl.org/pliniancore/terms/HabitatAndDistribution/Habitats;http://purl.org/pliniancore/terms/HabitatClass;General description of the sites where the species are found (ecosystem, forest, environment or microhabitat). (Placeholder).;;
HabitatAtomized;Dataset:TaxonRecord:HabitatAndDistribution:Habitats;DetailType;0;unbounded;http://purl.org/pliniancore/terms/Habitat/HabitatAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
HabitatUnstructured;Dataset:TaxonRecord:HabitatAndDistribution:Habitats;NormalString;1;1;http://purl.org/pliniancore/terms/Habitat/HabitatUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Distribution;Dataset:TaxonRecord:HabitatAndDistribution;DistributionType;0;unbounded;http://purl.org/pliniancore/terms/HabitatAndDistribution/Distribution;http://purl.org/pliniancore/terms/DistributionClass;Species geographical  distribution.;;
TypeDistribution;Dataset:TaxonRecord:HabitatAndDistribution:Distribution;NormalString;0;1;http://purl.org/pliniancore/terms/Distribution/TypeDistribution;http://purl.org/pliniancore/terms/NormalString;Distribution:restricted,actual.. AppliesTo: The authority has a scale;;
DistributionAtomized;Dataset:TaxonRecord:HabitatAndDistribution:Distribution;DistributionAtomizedType;0;unbounded;http://purl.org/pliniancore/terms/Distribution/DistributionAtomized;http://purl.org/pliniancore/terms/DistributionAtomizedClass;NULL;;
Catalogue;Dataset:TaxonRecord:HabitatAndDistribution:Distribution:DistributionAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/DistributionAtomized/Catalogue;http://purl.org/pliniancore/terms/NormalString;Catalogue where the GeographicEntity is documented.;;
GeographicEntity;Dataset:TaxonRecord:HabitatAndDistribution:Distribution:DistributionAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/DistributionAtomized/GeographicEntity;http://purl.org/pliniancore/terms/NormalString;Name of the geographic entity.;;
State;Dataset:TaxonRecord:HabitatAndDistribution:Distribution:DistributionAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/DistributionAtomized/State;http://purl.org/pliniancore/terms/NormalString;NULL;;
Region;Dataset:TaxonRecord:HabitatAndDistribution:Distribution:DistributionAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/DistributionAtomized/Region;http://purl.org/pliniancore/terms/NormalString;NULL;;
Town;Dataset:TaxonRecord:HabitatAndDistribution:Distribution:DistributionAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/DistributionAtomized/Town;http://purl.org/pliniancore/terms/NormalString;NULL;;
DistributionUnstructured;Dataset:TaxonRecord:HabitatAndDistribution:Distribution;NormalString;1;1;http://purl.org/pliniancore/terms/Distribution/DistributionUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Endemic;Dataset:TaxonRecord:HabitatAndDistribution;EndemicType;0;1;http://purl.org/pliniancore/terms/HabitatAndDistribution/Endemic;http://purl.org/pliniancore/terms/EndemicClass;Organism that lives exclusively in a particular territory and not found anywhere else.;;
EndemicAtomized;Dataset:TaxonRecord:HabitatAndDistribution:Endemic;EndemicAtomizedType;0;unbounded;http://purl.org/pliniancore/terms/Endemic/EndemicAtomized;http://purl.org/pliniancore/terms/EndemicAtomizedClass;List of areas structured and categorized the degree of safety.;;
EndemicTo;Dataset:TaxonRecord:HabitatAndDistribution:Endemic:EndemicAtomized;NormalString;1;unbounded;http://purl.org/pliniancore/terms/EndemicAtomized/EdemicTo;http://purl.org/pliniancore/terms/NormalString;The concept is applied to one or several countries. Ex:- Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China.  - Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama;;
EndemicIn;Dataset:TaxonRecord:HabitatAndDistribution:Endemic:EndemicAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/EndemicAtomized/EdemicIn;http://purl.org/pliniancore/terms/NormalString;The concept is applied to an area either multinational or local. Ex:  - Vicuña (Vicugna vicugna Molina, 1782) endemic in the Andean region.  - Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (Spain).;;Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China. 
EndemicUnstructured;Dataset:TaxonRecord:HabitatAndDistribution:Endemic;NormalString;0;1;http://purl.org/pliniancore/terms/Endemic/EndemicUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;- Vicuña (Vicugna vicugna Molina, 1782) endemic in the Andean region.;Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama
HabitatAndDistributionUnstructured;Dataset:TaxonRecord:HabitatAndDistribution;NormalString;0;1;http://purl.org/pliniancore/terms/Endemic/HabitatAndDistribution/HabitatAndDistributionUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;- Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (Spain).;
DemographyAndThreat;Dataset:TaxonRecord;DemographyAndThreatType;0;1;http://purl.org/pliniancore/terms/DemographyAndThreat;http://purl.org/pliniancore/terms/DemographyAndThreatClass;Information concerning the demographic aspects of the species, as well as the conservation status;;
Territory;Dataset:TaxonRecord:DemographyAndThreat;TerritoryType;0;1;http://purl.org/pliniancore/terms/DemographyAndThreat/Territory;http://purl.org/pliniancore/terms/TerritoryClass;Information associated mostly to vertebrates, referring to the territorial extension of the individual or group in terms of its activities (feeding, mating, etc.);;
TerritoryAtomized;Dataset:TaxonRecord:DemographyAndThreat:Territory;TerritoryAtomizedType;1;1;http://purl.org/pliniancore/terms/Territory/TerritoryAtomized;http://purl.org/pliniancore/terms/TerritoryAtomizedClass;NULL;;
ExtentOfOccurrence;Dataset:TaxonRecord:DemographyAndThreat:Territory:TerritoryAtomized;DetailType;1;1;http://purl.org/pliniancore/terms/TerritoryAtomized/ExtentOfOccurence;http://purl.org/pliniancore/terms/DetailClass;Area contained within the shortest continuous imaginary boundary which can be drawn to encompass all the known, inferred or projected sites of present occurrence of a taxon, excluding cases of  vagrancy.;;
AreaOfoccupancy;Dataset:TaxonRecord:DemographyAndThreat:Territory:TerritoryAtomized;DetailType;1;unbounded;http://purl.org/pliniancore/terms/TerritoryAtomized/AreaOfOccupancy;http://purl.org/pliniancore/terms/DetailClass;Area within its 'extent of occurrence' (see EOO) which is occupied by a taxon, excluding cases of vagrancy. The measure reflects the fact that a taxon will not usually occur throughout the area of its extent of occurrence, which may contain unsuitable or unoccupied habitats. Reference: http://www.iucnredlist.org/technical-documents/categories-and-criteria/2001-categories-criteria#definitions;;
TerritoryUnstructured;Dataset:TaxonRecord:DemographyAndThreat:Territory;NormalString;1;1;http://purl.org/pliniancore/terms/TerritoryUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
PopulationBiology;Dataset:TaxonRecord:DemographyAndThreat;PopulationBiologyType;0;1;http://purl.org/pliniancore/terms/DemographyAndThreat/PopulationBiology;http://purl.org/pliniancore/terms/PopulationBiologyClass;Study of the variations in time and space as well as size and density of populations, and the factors that cause such variations. ;;
PopulationBiologyAtomized;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology;PopulationBiologyAtomizedType;1;1;http://purl.org/pliniancore/terms/PopulationBiology/PopulationBiologyAtomized;http://purl.org/pliniancore/terms/PopulationBiologyAtomizedClass;NULL;;
AbundanceData;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/AbundanceData;http://purl.org/pliniancore/terms/DetailClass;Total number of individuals of a population;;
DensityData;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/DensityData;http://purl.org/pliniancore/terms/DetailClass;Size of a population in relation to a definite unit of space ;;
PatternDistribution;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/PatternDistribution;http://purl.org/pliniancore/terms/NormalString;Controlled vocabulary: Clumped, Uniform and  Random;;
Size;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/Size;http://purl.org/pliniancore/terms/DetailClass;Estimation of the size, usually expressed as a range, of the populations of a species. (E.g. “total population size is estimated between 200,000 to 400,000 ducks in its distribution area”).;;
SexRatio;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/SexRatio;http://purl.org/pliniancore/terms/DetailClass;The relative number of males to females in a population ;;
Fecundity;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/Fecundity;http://purl.org/pliniancore/terms/DetailClass;"Potential ability of an organism to produce eggs or young; rate of production of young by a female ";;
MortalityRate;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/MortalityRate;http://purl.org/pliniancore/terms/DetailClass;"The probability of dying; the ratio of number dying in a given time interval to the number alive at the beginning of the time interval ";;
BirthRate;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/BirthRate;http://purl.org/pliniancore/terms/DetailClass;Production of new individuals in a population ;;
NumberIndividualsPerObservation;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/NumIndividualsPerObservation;http://purl.org/pliniancore/terms/DetailClass;In case of having census data;;
AverageDensity;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/AverageDensity;http://purl.org/pliniancore/terms/DetailClass;Average of the densities obtained for a population;;
PopulationTrend;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/PopulationTrend;http://purl.org/pliniancore/terms/DetailClass;Controlled vocabulary: Stable, Increasing and Dreasing;;
Recruiment;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/Recruitment;http://purl.org/pliniancore/terms/DetailClass;proportion of plants or animals that reach a size or age when they become less vulnerable to a change in their environment. Stage in which plants or animals can be consumed and can survive, as well as reproduce ;;
PopulationGrowthRate;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/PopulationGrowthRate;http://purl.org/pliniancore/terms/DetailClass;Rate that estimates the annual growth rate of a population based on the births, rates, emigration and immigration.;;
Emigration;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/Emigration;http://purl.org/pliniancore/terms/DetailClass;Movement of individuals outside a population, or from one area to another ;;
Immigration;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/Immigration;http://purl.org/pliniancore/terms/DetailClass;Individuals entering a population ;;
DescriptionLifeStages;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;unbounded;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/DescriptionLifeStages;http://purl.org/pliniancore/terms/DetailClass;"Sex/age categories or life stages of a species; can be size in the case of plants.";;
ProportionIndividualsPerStageLife;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/ProportionIndividualsPerStageLife;http://purl.org/pliniancore/terms/DetailClass;Percentage of individuals that belong to each life stage;;
CarryingCapacity;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology:PopulationBiologyAtomized;DetailType;0;1;http://purl.org/pliniancore/terms/PopulationBiologyAtomized/CarryingCapacity;http://purl.org/pliniancore/terms/DetailClass;Maximum population density defined by resources in the absence of predator and parasites.;;
PopulationBiologyUnstructured;Dataset:TaxonRecord:DemographyAndThreat:PopulationBiology;NormalString;1;1;http://purl.org/pliniancore/terms/PopulationBiology/PopulationBiologyUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
ThreatStatus;Dataset:TaxonRecord:DemographyAndThreat;ComplexType;0;unbounded;http://purl.org/pliniancore/terms/DemographyAndThreat/ThreatStatus;null;Information about the status of the taxon.;;
ThreatCategory;Dataset:TaxonRecord:DemographyAndThreat:ThreatStatus;NormalString;1;1;http://purl.org/pliniancore/terms/DemographyAndThreat/ThreatCategory;http://purl.org/pliniancore/terms/NormalString;Description of the threat status.;;
Authority;Dataset:TaxonRecord:DemographyAndThreat:ThreatStatus;NormalString;0;unbounded;http://purl.org/pliniancore/terms/DemographyAndThreat/Authority;http://purl.org/pliniancore/terms/NormalString;Organism or institution that assess the status;;
AppliesTo;Dataset:TaxonRecord:DemographyAndThreat:ThreatStatus;DistributionType;0;1;http://purl.org/pliniancore/terms/DemographyAndThreat/AppliesTo;http://purl.org/pliniancore/terms/DistributionClass;Location where the status is used.;;
DirectThreats;Dataset:TaxonRecord:DemographyAndThreat;DetailType;0;1;http://purl.org/pliniancore/terms/DemographyAndThreat/DirectThreats;http://purl.org/pliniancore/terms/DetailClass;Direct threats are the proximate human activities or processes that have caused, are causing, or may cause the destruction, degradation, and/or impairment of biodiversity targets (e.g., unsustainable fishing or logging). Direct threats are synonymous with sources of stress and proximate pressures. Threats can be past (historical), ongoing, and/or likely to occur in the future.;;
Legislation;Dataset:TaxonRecord:DemographyAndThreat;LegislationType;0;1;http://purl.org/pliniancore/terms/DemographyAndThreat/Legislation;http://purl.org/pliniancore/terms/LegislationClass;A national proposed law or group of laws. A regional proposed law or group of laws.;;
LegislationAtomized;Dataset:TaxonRecord:DemographyAndThreat:Legislation;LegislationAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Legislation/LegislationAtomized;http://purl.org/pliniancore/terms/LegislationAtomizedClass;NULL;;
LegislationName;Dataset:TaxonRecord:DemographyAndThreat:Legislation:LegislationAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/LegislationAtomized/LegislationName;http://purl.org/pliniancore/terms/NormalString;Word or phrase to designate the law or group of laws;;
ProtectionLegalStatus;Dataset:TaxonRecord:DemographyAndThreat:Legislation:LegislationAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/LegislationAtomized/ProtectionLegalStatus;http://purl.org/pliniancore/terms/NormalString;Description of the status.;;
LegislationUnstructured;Dataset:TaxonRecord:DemographyAndThreat:Legislation;NormalString;1;1;http://purl.org/pliniancore/terms/Legislation/LegislationUnstructured;http://purl.org/pliniancore/terms/NormalString;Enumeration of the law or group of laws in an unstructured format.;;
DemographyAndThreatUnstructured;Dataset:TaxonRecord:DemographyAndThreat;NormalString;1;1;http://purl.org/pliniancore/terms/DemographyAndThreat/DemographyandThreatUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
UsesManagementAndConservation;Dataset:TaxonRecord;UsesManagementAndConservationType;0;1;http://purl.org/pliniancore/terms/UsesManagementAndConservation;http://purl.org/pliniancore/terms/UsesManagementAndConservationClass;NULL;;
Uses;Dataset:TaxonRecord:UsesManagementAndConsevation;UsesType;0;1;http://purl.org/pliniancore/terms/UsesManagementAndConservation/Uses;http://purl.org/pliniancore/terms/UsesClass;NULL;;
UsesAtomized;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses;UsesAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Uses/UsesAtomized;http://purl.org/pliniancore/terms/UsesAtomizedClass;NULL;;
SourceOfInformation;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized;ComplexType;0;1;http://purl.org/pliniancore/terms/UsesAtomized/SourceOfInformation;null;Acc. TDWG Economic Botany;;
References;Dataset:TaxonRecord:UsesManagementAndConsevation:Uses:UsesAtomized:SourceOfInformation;tcs:ReferenceType;1;unbounded;http://purl.org;http://tdwg.napier.ac.uk/tcs_doc101/#complexType_ReferenceType_Link036FB590;NULL;;
